name,day,time,address
World of Beer (BETH TUE),Tuesday,7:00PM,"7200 Wisconsin Avenue, Bethesda, MD 20814"
Public Bar,Tuesday,7:30PM,"1214 18th St NW, Washington, DC 20036"
Iron Horse Tap Room,Thursday,8:00PM,"507 7th Street NW, Washington, DC 20004"
Ragtime,Monday,7:30PM,"1345 N Courthouse Rd, Arlington, VA 22201"
World of Beer (RVILL MON),Monday,7:00PM,"196B East Montgomery Ave, Rockville, MD 20850"
South Riding Inn,Tuesday,7:30PM,"43090 Peacock Market Plaza, South Riding, VA 20152"
Justin's Cafe,Tuesday,8:00PM,"1025 First St SE, Washington, DC 20003"
Crafthouse Reston,Tuesday,8:00PM,"1888 Explorer St, Reston, VA 20190"
Bier Baron (Wednesday),Wednesday,7:30PM,"1523 22nd St NW, Washington, DC 20037"
ATR (Reston),Thursday,7:00PM,"1811 Library Street, Reston, VA 20190"
Crafthouse (ARL TUE),Tuesday,7:30PM,"901 N Glebe Rd, Arlington, VA 22203"
World of Beer (BETH SUN),Sunday,7:00PM,"7200 Wisconsin Ave., Bethesda, MD 20814"
The Big Stick,Wednesday,8:00PM,"20 M St SE, Washington, DC 20003"
Rhodeside Grill,Tuesday,7:30PM,"1836 Wilson Blvd, Arlington, VA 22201"
Pizzeria Paradiso (VA),Tuesday,7:00PM,"124 King Street, Alexandria, VA 22314"
D.C. Reynolds,Sunday,7:00PM,"3628 Georgia Ave NW, Washington, DC 20010"
Sign of the Whale,Thursday,7:00PM,"1825 M Street NW, Washington, DC 20036"
William Jeffrey's Tavern,Wednesday,7:30PM,"2301 Columbia Pike Suite 101, Arlington, VA 22204"
Mister Days (Thursday),Thursday,7:00PM,"3100 Clarendon Blvd, Arlington, VA 22201"
World of Beer (Ashburn),Tuesday,8:00PM,"44699 Bbrimfield Dr, Ashburn, VA 20147"
Bar Roubaix,Monday,7:30PM,"1400 Irving Street NW, Washington, DC 20010"
World of Beer (RVILLE WED),Wednesday,7:00PM,"196 E Montgomery Ave Ste B, Rockville, MD 20805"
Penn Social,Tuesday,7:00PM,"801 E St NW, Washington, DC 20004"
Moreland's Tavern,Tuesday,7:00PM,"5501 14th St. NW, Washington, DC 20011"
Provision No. 14,Wednesday,8:00PM,"2100 14th Street NW, Washington, DC 20009"
All Set,Tuesday,7:00PM,"8630 Fenton Street, Silver Spring, MD 20910"
Crafthouse Fairfax,Tuesday,8:00PM,"11861 Palace Way, Fairfax, VA 22030"
Courthaus Social,Wednesday,7:00PM,"2300 Clarendon Blvd, Arlington, VA 22201"
Franklin Hall,Monday,7:00PM,"1348 Florida Avenue NW, Washington, DC 20009"
Union Jack's,Tuesday,7:00PM,"9811 Washingtonian Blvd, Gaithersburg, MD 20878"
Meridian Pint,Wednesday,8:00PM,"3400 11st Street NW, Washington, DC 20010"
Highline RxR,Monday,7:00PM,"2010 Crystal Dr, Arlington, VA 22202"
Brickside,Wednesday,7:30PM,"4866 Cordell Ave, Bethesda, MD 20814"
World of Beer (C'ville),Tuesday,7:00PM,"852 W Main St, Charlottesville, VA 22903"
Lou's City Bar,Tuesday,7:30PM,"1400 Irving Street Northwest, Washington, DC 20010"
Rustico (Ballston),Thursday,7:00PM,"4075 Wilson Boulevard, Arlington, VA 22203"
Falls Church Distillers,Thursday,7:30PM,"442 S Washington St Suite A, Falls Church, VA 22046"
Austin Grill,Monday,7:00PM,"8430 Old Keene Mill Rd, Springfield, VA 20147"
Maddy's Tap Room,Tuesday,7:30PM,"100 13th Street NW, Washington, DC 20005"
Dock FC,Wednesday,7:30PM,"1400 Okie Street NE, Washington, DC 20002"
ATR (Bethesda),Monday,7:00PM,"7278 Woodmont Ave, Bethesda, MD 20814"
The Avenue,Tuesday,8:00PM,"5540 Connecticut Avenue NW, Washington, DC 20015"
Looney's Pub (Wednesday),Wednesday,7:00PM,"8150 Baltimore Ave, College Park, MD 20740"
Boundary Stone,Tuesday,7:30PM,"116 Rhode Island Ave NW, Washington, DC 20001"
Roofers Union,Thursday,7:30PM,"2446 18th St NW, Washington , DC 20009"
O'Sullivan's (Clarendon),Wednesday,7:00PM,"3207 Washington Blvd, Arlington, VA 22201"
True Respite Brewing Co.,Thursday,7:00PM,"7301 Calhoun Pl #600, Derwood, MD 20855"
Tommy Joe's (Bethesda),Thursday,7:30PM,"7940 Norfolk Ave, Bethesda, MD 20814"
Bar Elena DC,Sunday,7:00PM,"414 H Street NE, Washington, DC 20002"
The Craft of Brewing,Wednesday,7:00PM,"21140 Ashburn Crossing Drive Suite 170, Ashburn, VA 20147"
Church Hall,Monday,7:00PM,"3222 M Street, NW , Washington, DC 20007"
Hen Quarter (Penn Quarter),Monday,7:00PM,"750 e Street NW, Washington, DC 20004"
The Graham Georgetown,Tuesday,7:00PM,"1075 Thomas Jefferson St NW, Washington, DC 20007"
Heavy Seas Alehouse (ARL),Sunday,7:00PM,"501 Wilson Boulevard, Arlington, VA 22209"
Siní© Irish Pub,Sunday,7:00PM,"1301 S Joyce St, Arlington, VA 22202"
Blue Iguana,Thursday,7:00PM,"12727 Shoppes Lane,  Fairfax, VA 22033"
Finnegan's Grill,Sunday,7:30PM,"44050 Ashburn Village Blvd #199, Ashburn,  20147"
Smoke & Barrel,Wednesday,7:00PM,"2471 18th Street, N.W. , Washington, DC 20009"
Crafthouse (ARL MON),Monday,7:30PM,"901 N Glebe Rd, Arlington, VA 22203"
Froggy Bottom Pub,Tuesday,7:30PM,"2021 K Street NW, Washington, DC 20006"
Hen Quarter (Alexandria),Thursday,7:30PM,"801 King Street, Alexandria, VA 22314"
EatBar,Wednesday,7:30PM,"415 8th Street SE, Washington, DC 20003"
Caddies on Cordell,Tuesday,7:30PM,"4922 Cordell Avenue, Bethesda, MD 20814"
City Tap House (Dupont),Sunday,7:30PM,"1250 Connecticut Avenue NW, Washington, DC 20036"
The Brass Tap,Wednesday,7:30PM,"164 Fleet Street , National Harbor, MD "
Mad Fox (Falls Church),Tuesday,7:30PM,"444 W. Broad Street, Falls Church, VA 22046"
St. Arnold's (Cleveland Park),Wednesday,7:30PM,"3433 Connecticut Ave NW, Washington, DC 20008"
Lost & Found,Monday,8:00PM,"1240 9th Street NW, Washington, DC 20001"
Exiles Bar,Tuesday,8:00PM,"1610 U Street NW, Washington, DC 20009"
